gene module_id
C12orf23 MH_03
Btbd11 MH_15
Pwp1 MH_27
Ascl4 MH_04
Fbxo7 MH_20
Timp3 MH_25
Gnn grey
Nt5dc3 MH_31
C12orf42 MH_24
Pah MH_20
Pmch MH_01
Nup37 MH_04
Ccdc53 MH_04
Gnptab MH_07
Arl1 MH_06
Slc5a8 MH_23
Uhrf1bp1l MH_07
Anks1b MH_22
Sec61g MH_04
Tmpo MH_01
Cdk17 MH_27
Lta4h MH_02
Ccdc38 MH_01
Ntn4 MH_20
Usp44 MH_02
Fgd6 MH_04
Nr2c1 MH_10
Ndufa12 MH_02
Tmcc3 MH_11
Ccdc41 MH_09
Eea1 MH_07
Btg1 MH_29
Dcn MH_25
Lum MH_23
Kera MH_01
Epyc MH_29
C12orf12 grey
Atp2b1 MH_07
Poc1b MH_02
Galnt4 MH_27
Dusp6 MH_02
Kitlg grey
Cep290 MH_17
C12orf50 MH_24
Mgat4c MH_24
Rassf9 grey
Slc6a15 MH_19
