"gene.name"	"DE"	"in.module"	"Coarse.module"	"Fine.module"
"381"	"1700061e17rik"	FALSE	FALSE	NA	NA
"382"	"1700061e18rik"	FALSE	FALSE	NA	NA
"383"	"1700061f12rik"	FALSE	FALSE	NA	NA
"384"	"1700061g19rik"	FALSE	FALSE	NA	NA
"385"	"1700061h18rik"	FALSE	FALSE	NA	NA
"386"	"1700061i17rik"	FALSE	FALSE	NA	NA
"387"	"1700061j23rik"	FALSE	FALSE	NA	NA
"388"	"1700063a18rik"	FALSE	FALSE	NA	NA
"389"	"1700063d05rik"	FALSE	FALSE	NA	NA
"390"	"1700063h04rik"	FALSE	FALSE	NA	NA
"391"	"1700063k16rik"	FALSE	FALSE	NA	NA
"392"	"1700063o14rik"	FALSE	FALSE	NA	NA
"393"	"1700064h15rik"	FALSE	FALSE	NA	NA
"394"	"1700064j06rik"	FALSE	FALSE	NA	NA
"395"	"1700064m15rik"	FALSE	FALSE	NA	NA
"396"	"1700065d16rik"	FALSE	FALSE	NA	NA
"397"	"1700065i16rik"	FALSE	FALSE	NA	NA
"398"	"1700065j18rik"	FALSE	FALSE	NA	NA
"399"	"1700065o20rik"	FALSE	FALSE	NA	NA
"400"	"1700066b17rik"	FALSE	FALSE	NA	NA
"401"	"1700066b19rik"	FALSE	FALSE	NA	NA
"402"	"1700066c05rik"	TRUE	FALSE	NA	NA
"403"	"1700066j03rik"	FALSE	FALSE	NA	NA
"404"	"1700066m21rik"	TRUE	FALSE	NA	NA
"405"	"1700066n21rik"	FALSE	FALSE	NA	NA
"406"	"1700066o22rik"	FALSE	FALSE	NA	NA
"407"	"1700067g17rik"	FALSE	FALSE	NA	NA
"408"	"1700067k01rik"	FALSE	FALSE	NA	NA
"409"	"1700067p10rik"	FALSE	FALSE	NA	NA
"410"	"1700069b07rik"	FALSE	FALSE	NA	NA
"411"	"1700069l16rik"	FALSE	FALSE	NA	NA
"412"	"1700071g01rik"	FALSE	FALSE	NA	NA
"413"	"1700071k01rik"	FALSE	FALSE	NA	NA
"414"	"1700071m16rik"	FALSE	FALSE	NA	NA
"415"	"1700072b07rik"	FALSE	FALSE	NA	NA
"416"	"1700073e17rik"	FALSE	FALSE	NA	NA
"417"	"1700074h08rik"	FALSE	FALSE	NA	NA
"418"	"1700074p13rik"	FALSE	FALSE	NA	NA
